date,lastSyncTime,steps,distance,runDistance,calories
2019-04-10,1557361676,3474,2554,0,93
2019-04-11,1557361676,5279,3729,0,186
2019-04-12,1557361676,4861,3459,0,152
2019-04-13,1557361677,3474,2848,0,144
2019-04-14,1557361677,2073,1452,0,64
2019-04-15,1557361677,2618,1910,0,89
2019-04-16,1557361678,4570,3374,0,155
2019-04-17,1557361678,2953,2153,0,92
2019-04-18,1557361679,4633,3451,0,162
2019-04-19,1557361679,1846,1330,0,72
2019-04-20,1557361640,159,108,0,20
2019-04-21,1557361641,5006,3682,0,197
2019-04-22,1557361641,2982,2119,0,130
2019-04-23,1557361642,3210,2331,0,135
2019-04-24,1557361642,4126,2940,0,154
2019-04-25,1557361642,3164,2246,0,150
2019-04-26,1557361643,3695,2532,0,128
2019-04-27,1557361643,884,617,0,33
2019-04-28,1557361643,12597,9468,0,401
2019-04-29,1557361644,4330,3156,0,139
2019-04-30,1557361640,4900,3484,0,161
2019-05-01,1557361648,5213,3760,0,142
2019-05-02,1557361648,5712,4260,0,179
2019-05-03,1557361648,3039,2123,0,109
2019-05-04,1557361649,3854,2855,0,132
2019-05-05,1557361649,4833,3569,0,160
2019-05-06,1557361650,3620,2859,0,140
2019-05-07,1557361650,2060,1450,0,69
2019-05-09,1562230784,244,162,0,14
2019-05-10,1562230786,13,9,0,2
2019-05-11,1562230787,1735,1166,0,54
2019-05-12,1562230788,2524,1742,0,77
2019-05-13,1562230789,531,372,0,24
2019-05-14,1562230790,2716,1840,0,119
2019-05-15,1562230791,3589,2576,0,110
2019-05-16,1562230792,3388,2372,0,90
2019-05-17,1562230793,3517,2437,0,97
2019-05-18,1562230795,1874,1247,0,65
2019-05-19,1562230795,6264,4399,0,183
2019-05-20,1562230785,1324,933,0,59
2019-05-21,1562230797,6627,4919,0,222
2019-05-22,1562230799,4206,2929,0,123
2019-05-23,1562230800,4548,3028,0,199
2019-05-24,1562230802,3543,2395,0,125
2019-05-25,1562230803,4017,2717,0,103
2019-05-26,1562230803,2038,1503,0,75
2019-05-27,1562230804,409,272,0,30
